,Fit,A,mu,sigma,gamma,RMSE,Nb_obs,Feature,Layer_second,Bin_width,Population_used,Population
111,LogNormal,275.1973982427477,1.660371640813265,0.4851030894722368,,1.599154409855018,132,Adaptation_index,4,2.28,All_layer,Htr3a
112,LogNormal,275.1973982427477,1.660371640813265,0.4851030894722368,,1.599154409855018,132,Adaptation_index,1,2.28,All_layer,Htr3a
113,LogNormal,275.1973982427477,1.660371640813265,0.4851030894722368,,1.599154409855018,132,Adaptation_index,6,2.28,All_layer,Htr3a
114,Skewed Gaussian,17.641748595512155,0.7601018870668689,1.6019613699858153,62784.670393702545,0.8231392775401957,31,Gain,4,0.58,Per_layer,Pvalb
115,LogNormal,32.05534805893151,1.0961832019719964,0.4579665106539753,,2.207693391325476,53,Gain,5,0.58,Per_layer,Pvalb
116,LogNormal,23.312918723114542,0.3913294592910952,1.7591713810839575,,0.9887777167403026,25,Gain,6,0.58,Per_layer,Pvalb
117,Skewed Gaussian,21.53757692789057,0.360044930057233,0.9126525581095888,2.7620673178468067,0.5462082257910023,34,Gain,2/3,0.58,Per_layer,Pvalb
118,Gaussian,2480.852745946394,269.5517567941826,95.21614720678856,,1.0973458293495757,31,Threshold,4,65.23,Per_layer,Pvalb
119,Gaussian,4094.0412681030143,287.5785084638584,129.30851488986207,,0.436375967094408,53,Threshold,5,65.23,Per_layer,Pvalb
120,Gaussian,77.42441510497173,107.23034958158344,2.598647635073555,,2.3717082451262845,25,Threshold,6,65.23,Per_layer,Pvalb
121,Skewed Gaussian,49.185682225607394,106.29692054955828,3.871480398606225,-18.957599929157297,2.3717082451262845,25,Threshold,6,65.23,Per_layer,Pvalb
122,Gaussian,2219.2223321123497,267.85386750045404,88.54622783458886,,1.5018538304870876,34,Threshold,2/3,65.23,Per_layer,Pvalb
123,LogNormal,1.7229589007948034,-2.174106179102853,0.346349700128928,,2.0810204739886347,70,Input_Resistance_GOhms,4,0.02,Per_layer,Pvalb
124,Skewed Gaussian,1.9498442584777056,0.0791660211037116,0.0561143250460745,3.762342585812269,1.2890363790477437,93,Input_Resistance_GOhms,5,0.02,Per_layer,Pvalb
125,Skewed Gaussian,0.8357036795654774,0.0737878477590588,0.1060706121027979,48303.20892624042,1.7464460279890577,38,Input_Resistance_GOhms,6,0.02,Per_layer,Pvalb
126,Skewed Gaussian,1.3004611360265863,0.0637103511070838,0.0356025548972304,1.3674801459817134,1.7192070687537673,62,Input_Resistance_GOhms,2/3,0.02,Per_layer,Pvalb
127,Skewed Gaussian,68.01389071187373,6.0327442904466455,1.6388700729549894,1.0194753862914674,1.1417016549333263,70,Time_constant_ms,4,0.8,Per_layer,Pvalb
128,Skewed Gaussian,87.67928955271563,5.239471038780421,2.8420952586949175,4.392547604079509,0.7719792593322482,93,Time_constant_ms,5,0.8,Per_layer,Pvalb
129,Skewed Gaussian,36.50890454019959,5.452127395858095,5.128695809269378,4.238721958157295,1.1562659102925432,38,Time_constant_ms,6,0.8,Per_layer,Pvalb
130,Skewed Gaussian,52.81282085338804,4.806614455597021,2.6249212483316433,31468.507479956905,2.143093413684855,62,Time_constant_ms,2/3,0.8,Per_layer,Pvalb
131,Skewed Gaussian,23327.182709770972,-62.68550463158369,135.34004393350364,1847.295957665419,1.3894469123224262,199,Adaptation_index,4,137.54,All_layer,Pvalb
132,Skewed Gaussian,23327.182709770972,-62.68550463158369,135.34004393350364,1847.295957665419,1.3894469123224262,199,Adaptation_index,5,137.54,All_layer,Pvalb
133,Skewed Gaussian,23327.182709770972,-62.68550463158369,135.34004393350364,1847.295957665419,1.3894469123224262,199,Adaptation_index,6,137.54,All_layer,Pvalb
134,Skewed Gaussian,23327.182709770972,-62.68550463158369,135.34004393350364,1847.295957665419,1.3894469123224262,199,Adaptation_index,2/3,137.54,All_layer,Pvalb
135,Skewed Gaussian,24.19229855920911,0.1179959917981456,0.4829360372349995,116369.04236813408,3.891535793189605,184,Gain,5,0.14,All_layer,Sst
136,Skewed Gaussian,24.19229855920911,0.1179959917981456,0.4829360372349995,116369.04236813408,3.891535793189605,184,Gain,4,0.14,All_layer,Sst
137,Skewed Gaussian,24.19229855920911,0.1179959917981456,0.4829360372349995,116369.04236813408,3.891535793189605,184,Gain,2/3,0.14,All_layer,Sst
138,Skewed Gaussian,24.19229855920911,0.1179959917981456,0.4829360372349995,116369.04236813408,3.891535793189605,184,Gain,6,0.14,All_layer,Sst
139,Skewed Gaussian,24.19229855920911,0.1179959917981456,0.4829360372349995,116369.04236813408,3.891535793189605,184,Gain,1,0.14,All_layer,Sst
140,LogNormal,5176.356701775063,4.499322492954076,0.6337443384794235,,1.9940524632887664,184,Threshold,5,27.48,All_layer,Sst
141,LogNormal,5176.356701775063,4.499322492954076,0.6337443384794235,,1.9940524632887664,184,Threshold,4,27.48,All_layer,Sst
142,LogNormal,5176.356701775063,4.499322492954076,0.6337443384794235,,1.9940524632887664,184,Threshold,2/3,27.48,All_layer,Sst
143,LogNormal,5176.356701775063,4.499322492954076,0.6337443384794235,,1.9940524632887664,184,Threshold,6,27.48,All_layer,Sst
144,LogNormal,5176.356701775063,4.499322492954076,0.6337443384794235,,1.9940524632887664,184,Threshold,1,27.48,All_layer,Sst
145,Skewed Gaussian,11.81356957596643,0.1212682473187838,0.1665655042076492,3.9977541474439167,3.1739087969150552,212,Input_Resistance_GOhms,5,0.05,All_layer,Sst
146,Skewed Gaussian,11.81356957596643,0.1212682473187838,0.1665655042076492,3.9977541474439167,3.1739087969150552,212,Input_Resistance_GOhms,4,0.05,All_layer,Sst
147,Skewed Gaussian,11.81356957596643,0.1212682473187838,0.1665655042076492,3.9977541474439167,3.1739087969150552,212,Input_Resistance_GOhms,2/3,0.05,All_layer,Sst
148,Skewed Gaussian,11.81356957596643,0.1212682473187838,0.1665655042076492,3.9977541474439167,3.1739087969150552,212,Input_Resistance_GOhms,6,0.05,All_layer,Sst
149,Skewed Gaussian,11.81356957596643,0.1212682473187838,0.1665655042076492,3.9977541474439167,3.1739087969150552,212,Input_Resistance_GOhms,1,0.05,All_layer,Sst
150,Gaussian,653.175998776509,21.80768200840038,9.654226014383918,,2.2654701976743103,124,Time_constant_ms,5,4.74,Per_layer,Sst
151,Skewed Gaussian,130.30775809416303,8.62459730378823,10.092000605129538,3.286907624734771,0.5851710741130098,27,Time_constant_ms,4,4.74,Per_layer,Sst
152,Skewed Gaussian,173.73667191102115,5.726558473013336,11.478345882008837,43149.60032313252,1.1820689110087097,23,Time_constant_ms,2/3,4.74,Per_layer,Sst
153,LogNormal,197.61178986179436,2.9186595150093213,0.8188263131695859,,0.6657259417488459,35,Time_constant_ms,6,4.74,Per_layer,Sst
154,Skewed Gaussian,1162.010841190184,8.482635299917318,16.230871260551993,3.554354977542689,2.1775844424060793,212,Time_constant_ms,1,4.74,"Not enough value in population, take all layers",Sst
