,Cell_id,Model_id,Time_constant_ms,Input_Resistance_GOhms,Holding_potential_mV_model,Steady_state_potential_mV_model,Resting_potential_mV_model,Adaptation_index,Gain,Threshold,Saturation_frequency_Hz_model,Saturation_stimulus_pA_model,file_name
61,593312584,597605612,20.35244328348373,0.5384860486395231,-67.956,-89.52660597491486,-46.385394025085155,4.0816318594551735,0.479413124240489,44.196022873368335,,,Cell_593312584_model_597605612_config.json
62,479220013,566391272,9.3269909315328,0.1829000336082189,-69.22,-78.3751106245119,-60.06488937548808,2.5951585653375875,0.2762809627618567,146.18252382528044,,,Cell_479220013_model_566391272_config.json
63,572804610,587845236,29.29256479872644,0.1833311974435578,-61.375,-60.0532370925165,-62.6967629074835,2.1241102923316397,0.2712883632312764,77.74509208016961,,,Cell_572804610_model_587845236_config.json
64,575920560,587847185,14.69838038868618,0.2172912827768365,-72.858,-72.67593196507515,-73.04006803492486,1.9374364541307068,0.321877572428889,132.8546925390714,,,Cell_575920560_model_587847185_config.json
65,593312295,597209776,21.05794896517974,0.413694614143157,-73.401,-85.837525637338,-60.96447436266198,2.205626852608962,0.4034269516352693,44.29120442468172,,,Cell_593312295_model_597209776_config.json
66,485958978,486512803,,,,,,,,,,,Cell_485958978_model_486512803_config.json
67,508987256,512501970,13.280149935085433,0.1303909173301976,-76.247,-77.5599331507112,-74.93406684928878,1.6926422850292315,0.2094959358187517,276.2616831547378,,,Cell_508987256_model_512501970_config.json
68,490626827,491629865,8.617379743052764,0.1216990526989626,-79.688,-83.34646025916628,-76.02953974083373,5.478166290854034,,,,,Cell_490626827_model_491629865_config.json
69,487661754,488462767,49.79102511329139,0.4032418782536883,-80.9843,-87.46049259926993,-74.5081074007301,5.946489727264703,,,,,Cell_487661754_model_488462767_config.json
70,473564515,566303001,10.782818369539678,0.172323712561579,-71.877,-77.48810469628303,-66.26589530371696,7.469581650118345,0.5466831924649602,171.4060865019486,,,Cell_473564515_model_566303001_config.json
71,326734770,566284409,11.692907586517284,0.2257883075397338,-67.256,-74.0501299765568,-60.4618700234432,1.51411608820072,0.4004357365634332,105.15506229122794,,,Cell_326734770_model_566284409_config.json
72,485579168,486051929,,,,,,,,,,,Cell_485579168_model_486051929_config.json
73,569623233,569896560,10.391436061688015,0.1499963721833317,-73.367,-79.3754241891514,-67.3585758108486,1.4446307599375747,0.3382951832640369,131.60864861073273,,,Cell_569623233_model_569896560_config.json
74,567029686,568585732,18.79373025198968,0.2841322108170963,-60.63,-64.2007877259877,-57.05921227401231,2.9902415914169476,,,,,Cell_567029686_model_568585732_config.json
75,396968721,566292841,26.769470087522603,0.4255065105587492,-71.994,-77.22306765121303,-66.76493234878697,40.170939866357266,0.6456590786369677,69.75745549707172,,,Cell_396968721_model_566292841_config.json
76,569670455,569896594,18.933941656445697,0.195992451667787,-60.736999999999995,-60.750783151338176,-60.72321684866182,0.770520867890067,,,,,Cell_569670455_model_569896594_config.json
77,474660482,566305922,,,,,,,,,,,Cell_474660482_model_566305922_config.json
78,479721491,482520359,,,,,,,,,,,Cell_479721491_model_482520359_config.json
79,584664194,591538454,25.81434622372388,0.2896335206565538,-71.887,-79.94978000928599,-63.82421999071401,2.070798978294998,,,,,Cell_584664194_model_591538454_config.json
80,480268803,483148192,32.74984777011272,0.3607229662086277,-72.55255555555556,-76.1843762436325,-68.92073486747861,2.600988785697212,0.3023660042252186,65.98018668610588,,,Cell_480268803_model_483148192_config.json
81,471087830,566303369,7.237742391625092,0.1457481493497884,-76.425,-109.36410634080832,-43.485893659191674,5.760628528713875,,,,,Cell_471087830_model_566303369_config.json
